qdate,ave_1
19640630,3.411
19640731,3.259
19640831,3.264
19640930,3.523
19641030,3.427
19641130,3.574
19641231,3.427
19650129,3.884
19650226,3.849
19650331,3.788
19650430,3.859
19650528,3.732
19650630,3.783
19650730,3.768
19650831,3.783
19650930,3.986
19651029,3.849
19651130,3.798
19651231,4.266
19660131,4.531
19660228,4.459
19660331,4.418
19660429,4.602
19660531,4.459
19660630,4.52
19660729,4.546
19660831,4.724
19660930,5.157
19661031,4.775
19661130,4.266
19661230,4.47
19670131,4.546
19670228,4.485
19670331,4.062
19670428,3.453
19670531,3.249
19670630,3.707
19670731,3.808
19670831,3.859
19670929,4.154
19671031,4.149
19671130,4.19
19671229,4.343
19680131,4.807
19680229,4.673
19680329,4.852
19680430,5.488
19680531,5.386
19680628,5.285
19680731,5.259
19680830,4.938
19680930,5.162
19681031,5.411
19681129,4.836
19681231,6.099
19690131,5.999
19690228,5.641
19690328,5.361
19690430,6.125
19690529,5.845
19690630,6.481
19690731,6.915
19690829,6.66
19690930,6.945
19691031,6.685
19691128,6.447
19691231,6.787
19700130,7.728
19700227,6.303
19700331,6.415
19700430,6.512
19700529,6.309
19700630,5.93
19700731,5.895
19700831,6.109
19700930,5.819
19701030,5.274
19701130,4.449
19701231,4.439
19710129,4.062
19710226,3.229
19710331,3.406
19710430,3.676
19710528,3.87
19710630,5.019
19710730,5.06
19710831,4.408
19710930,4.531
19711029,3.992
19711130,3.828
19711231,3.351
19720131,3.127
19720229,3.147
19720330,3.483
19720428,3.249
19720531,3.401
19720630,3.625
19720731,3.513
19720831,4.307
19720929,4.429
19721031,4.541
19721130,4.917
19721229,4.867
19730131,5.571
19730228,5.579
19730330,5.875
19730430,5.987
19730531,6.527
19730629,7.436
19730731,8.312
19730831,8.581
19730928,7.335
19731031,6.928
19731130,7.447
19731231,7.364
19740131,7.55
19740228,7.377
19740329,8.5
19740430,8.771
19740531,7.834
19740628,7.681
19740731,7.715
19740830,9.215
19740930,6.17
19741031,6.672
19741129,7.498
19741231,6.537
19750131,5.54
19750228,4.756
19750331,5.274
19750430,5.214
19750530,4.856
19750630,5.651
19750731,6.03
19750829,5.968
19750930,6.292
19751031,5.316
19751128,5.184
19751231,5.172
19760130,4.521
19760227,4.654
19760331,4.756
19760430,4.694
19760528,5.06
19760630,5.296
19760730,5.081
19760831,4.764
19760930,5.082
19761029,4.756
19761130,4.347
19761231,4.257
19770131,4.551
19770228,4.429
19770331,4.541
19770429,4.388
19770531,4.835
19770630,4.949
19770729,5.346
19770831,5.378
19770930,5.815
19771031,5.824
19771130,5.694
19771230,5.754
19780131,5.997
19780228,6.088
19780331,6.497
19780428,6.049
19780531,6.51
19780630,6.56
19780731,6.517
19780831,7.601
19780929,8.019
19781031,8.536
19781130,9.063
19781229,8.428
19790131,9.522
19790228,9.542
19790330,9.642
19790430,9.569
19790531,9.687
19790629,8.99
19790731,9.098
19790831,10.054
19790928,10.279
19791031,11.717
19791130,10.904
19791231,9.344
19800131,11.722
19800229,13.616
19800331,15.051
19800430,9.238
19800530,7.182
19800630,6.201
19800731,7.499
19800829,9.297
19800930,10.795
19801031,11.683
19801128,14.652
19801231,12.528
19810130,13.919
19810227,14.032
19810331,13.017
19810430,13.819
19810529,16.15
19810630,14.411
19810731,14.957
19810831,14.968
19810930,13.997
19811030,12.718
19811130,10.244
19811231,9.636
19820129,11.929
19820226,11.826
19820331,13.421
19820430,12.236
19820528,11.437
19820630,11.779
19820730,8.919
19820831,6.211
19820930,7.019
19821029,7.703
19821130,7.628
19821231,8.06
19830131,8.037
19830228,7.425
19830331,8.572
19830429,8.111
19830531,8.077
19830630,8.695
19830729,8.919
19830831,9.146
19830930,8.755
19831031,8.446
19831130,8.502
19831230,8.643
19840131,8.884
19840229,8.89
19840330,9.553
19840430,9.263
19840531,9.359
19840629,9.358
19840731,9.65
19840831,10.719
19840928,10.433
19841031,8.604
19841130,7.407
19841231,7.598
19850131,7.652
19850228,7.714
19850329,8.091
19850430,7.353
19850531,7.03
19850628,6.631
19850731,7.061
19850830,7.07
19850930,7.068
19851031,7.173
19851129,6.57
19851231,5.905
19860131,6.784
19860228,6.947
19860331,6.272
19860430,5.898
19860530,6.152
19860630,5.885
19860731,5.632
19860829,5.122
19860930,5.111
19861031,5.122
19861128,4.96
19861231,5.113
19870130,5.581
19870227,5.367
19870331,5.202
19870430,4.858
19870529,5.387
19870630,4.927
19870731,5.601
19870831,5.661
19870930,6.5
19871030,4.023
19871130,3.513
19871231,3.687
19880129,5.285
19880229,5.172
19880331,5.734
19880429,5.754
19880531,5.864
19880630,6.54
19880729,6.376
19880831,7.204
19880930,7.09
19881031,6.741
19881130,6.826
19881230,6.611
19890131,7.883
19890228,7.536
19890331,8.775
19890428,8.561
19890531,8.594
19890630,8.254
19890731,7.843
19890831,7.785
19890929,7.754
19891031,7.689
19891130,7.07
19891229,6.264
